Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
1488;Targeted industry survey regarding US coverage requirements discovery for Durable Medical Equipment. (PSS in Confluence);Financial Management Work Group;;Administrative;Mary Kay McDaniel;Active Project (Resources assigned to pjt);18/12/2018;28/01/2019;Investigative Project (PSS-Lite);2019 May WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;"https://confluence.hl7.org/display/FM/PSS+for+HL7+FM+Survey%2C+last+updated+2018+12+11?src=contextnavpagetreemode
and the documents page: Documentation";N/A;- Non Product Project -;08/01/2019 08:00
1490;"Authorization Support (Da Vinci Pjt; PSS In Confluence)";Financial Management Work Group;Payer/Provider Info Exchange Work Group;Administrative;Robert Dieterle, Viet Nguyen;STU - Test Period/Accepting Comments;12/01/2019;04/03/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;Authorization Support, Prior Authorization, Da Vinci;"https://confluence.hl7.org/display/FM/PSS+for+Prior-Authorization+Support

HTTP://confluence.hl7.org/pages/viewpage.action?pageId=39158184";Yes;"FHIR IG; FHIR Profile";24/01/2019 08:00
1492;Provenance Basics for C-CDA and FHIR;Security Work Group;Community-Based Care and Privacy (CBCP) Work Group, Electronic Health Records Work Group, Patient Care Work Group, Structured Documents Work Group;Infrastructure;Brett Marquard and Russ Ott;Archived;05/03/2019;18/03/2019;Ballot - Informative;2020 Sept WGM/Ballot;White Paper (Balloted Informative), Supplement to a Current Standard;Provenance, Data Provenance ;Confluence location underneath Security;Don't Know;Guidance (e.g. Companion Guide, Cookbook, etc);28/01/2019 08:00
1493;"Documentation Templates and Rules (Da Vinci pjt; PSS in Confluence)";Clinical Decision Support Work Group;Patient Care Work Group, Payer/Provider Info Exchange Work Group;Clinical;Robert Dieterle, Kevin Larsen;STU - Test Period/Accepting Comments;16/03/2019;07/06/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;Documentation Templates and Rules, DTR, Payer Rules, Da Vinci;HTTP: //confluence.hl7.org/pages/viewpage.action?pageId=39158184;;"FHIR IG; FHIR Profile";28/01/2019 08:00
1494;"Health Record Exchange (HRex) Framework (Da Vinci Pjt; PSS in Confluence)";Clinical Interoperability Council Work Group;Financial Management Work Group, Patient Care Work Group, Payer/Provider Info Exchange Work Group;Clinical;Lloyd McKenzie, Rick Geimer;STU - Reconcile;16/03/2019;01/04/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;Health Record exchange, HRex, Da Vinci, Framework;"PSS for Health Record Exchange (HRex) Framework R4 Only:
https://confluence.hl7.org/display/CIC/PSS+for+Health+Record++Exchange+%28HRex%29+Framework+R4+Only

https://confluence.hl7.org/display/CIC/PSS+for+Health+Record++Exchange+%28HRex%29+Framework";Yes;"FHIR IG; FHIR Profile";29/01/2019 08:00
1495;"Clinical Data Exchange (CDex) (Da Vinci Pjt; PSS in Confluence)";Patient Care Work Group;Payer/Provider Info Exchange Work Group;Clinical;Lisa Nelson, Rick Geimer;STU - Reconcile;16/03/2019;01/04/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;Clinical Data exchange, CDex, Da Vinci;"PSS location: https://confluence.hl7.org/pages/viewpage.action?pageId=40737272
or
https://confluence.hl7.org/pages/viewpage.action?pageId=39158657";Yes;"FHIR IG; FHIR Profile";29/01/2019 08:00
1502;ISO 13606-3/FHIR IG (PSS in Confluence);Electronic Health Records Work Group;Modeling and Methodology Work Group;Administrative;Gary Dickinson FHL7;Active Project (Resources assigned to pjt);22/02/2019;;Ballot - Informative;2021 Sept WGM/Ballot;IG;ISO 13606 IG, 13606 IG;"https://confluence.hl7.org/pages/viewpage.action?pageId=40738328

https://wiki.hl7.org/ISO_13606_FHIR_Implementation_Guide";Yes;"FHIR IG; FHIR Profile; FHIR Resources";29/01/2019 08:00
1497;Ballot the FHIR Bulk Data IG (ONC/Grant Project);FHIR Infrastructure Work Group;Security Work Group;Infrastructure;Dan Gottlieb, Brett Marquard;STU - Test Period/Accepting Comments;05/03/2019;18/03/2019;Vendor Contract;2024 May WGM/Ballot;IG;Flat FHIR;"ONC Grant Project Page on the HL7 Wiki:
http://wiki.hl7.org/index.php?title=ONC_Grant_Project_Page";No;FHIR IG;30/01/2019 08:00
1499;FHIR Quality Measure IG (PSS in Confluence);Clinical Quality Information Work Group;Clinical Decision Support Work Group;Clinical;Bryn Rhodes, Rob Samples;STU - Test Period/Accepting Comments;03/02/2019;11/02/2019;Ballot - STU to Normative;2022 Sept WGM/Ballot;IG;"What common name does your group use to refer to the product(s) produced? What alternative names, aliases and keywords does your group use to refer to the product(s) that will be produced? 
FHIR Quality Measure IG ";"(To be determined)
PSS at: https://confluence.hl7.org/display/CQIWC/FHIR+Quality+Measure+Implementation+Guide+PSS";Don't Know;FHIR IG;01/02/2019 08:00
1498;C-CDA Rubric Update (Formalize a Rubric to Assess the Quality of C-CDA Documents) (PSS in Confluence);Structured Documents Work Group;;Infrastructure;Matthew Rahn;Archived;05/03/2019;11/03/2019;Ballot - Informative;2020 Sept WGM/Ballot;Supplement to a Current Standard;"C-CDA; Scorecard; Rubrics; Rules";"http://wiki.hl7.org/index.php?title=C-CDA_Scorecard_Rubric_Update

PSS at: https://confluence.hl7.org/display/SD/C-CDA+Rubric+Criteria";N/A;Guidance (e.g. Companion Guide, Cookbook, etc);01/02/2019 08:00
1500;QDM-based HQMF Withdrawal (PSS in Confluence);Clinical Quality Information Work Group;Clinical Decision Support Work Group, Structured Documents Work Group;Clinical;Floyd Eisenberg;Archived;03/12/2019;11/02/2019;Ballot - Withdraw;2019 Sept WGM/Ballot;Withdraw Current Standard;QDM-based HQMF;;N/A;;01/02/2019 08:00
1504;Abstract Data Types R3;Modeling and Methodology Work Group;Vocabulary Work Group;Infrastructure;Jean Duteau;Active Project (Resources assigned to pjt);20/06/2019;08/07/2019;Ballot - Normative (no STU);2020 May WGM/Ballot;Revise Current Standard;Datatypes;http://www.hl7.org/Special/committees/mnm/docs.cfm;Yes;;05/02/2019 08:00
1507;Mobile Health Work Group 3-Year Plan;Mobile Health Work Group;;Infrastructure;Mobile WG Co-Chairs;3-Year Plan Item;;;- Other -;2022 Jan WGM/Ballot;;;;;;05/02/2019 08:00
1506;Vocabulary Work Group 3-Year Plan;Vocabulary Work Group;;Infrastructure;Vocab WG Co-Chairs;Archived;;;- Other -;2022 Jan WGM/Ballot;;;;;;05/02/2019 08:00
1505;Representation of Clinical Practice Guideline Recommendations in FHIR;Clinical Decision Support Work Group;Clinical Quality Information Work Group, Patient Care Work Group;Clinical;Bryn Rhodes;STU - Reconcile;18/02/2019;25/02/2019;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;"Adapting Clinical Guidelines (ACG)
Clinical Practice Guidelines On FHIR (CPG-On-FHIR)";http://github.com/cqframework/cdc-acg;No;FHIR IG;05/02/2019 08:00
1521;Public Health WG 3-Year-Plan;Public Health Work Group;;Clinical;Public Health WG Co-Chairs;3-Year Plan Item;;;- Other -;2025 Sept WGM/Ballot;;;https://confluence.hl7.org/display/PHWG/Public+Health+Project+Roadmap;;;07/02/2019 08:00
1509;Minimal Common Oncology Data Elements (mCODE) (PSS in Confluence);Clinical Interoperability Council Work Group;;Clinical;Mark Kramer;STU - Test Period/Accepting Comments;11/03/2019;01/04/2019;Ballot - STU to Normative;2024 May WGM/Ballot;Supplement to a Current Standard, IG;mCODE (aka Minimal Common Oncology Data Elements);"https://confluence.hl7.org/display/CIC/Minimal+Common+Oncology+Data+Elements 
(this page is proposed - has not been created yet)";Yes;"FHIR IG; FHIR Profile";07/02/2019 08:00
1510;US Core Ballot Reconciliation Support (ONC/Grant funded project);Board of Directors Work Group;;None;Brett Marquard, Eric Haas;Archived;;;Vendor Contract;2019 Sept WGM/Ballot;;;ONC Project Wiki Page: http://wiki.hl7.org/index.php?title=ONC_Grant_Project_Page;N/A;;12/02/2019 08:00
1511;HL7 IG for CDA® Release 2: National Healthcare Safety Network (NHSN) Healthcare Associated Infection (HAI) Reports for Long Term Care Facilities (HAI-LTCF-CDA)  and HL7 IG for FHIR® Release 4: NHSN Healthcare Associated Infection (HAI) Reports for Long Term Care F;Public Health Work Group;Structured Documents Work Group;Clinical;Jeneita Bell;STU - Reconcile;02/02/2019;04/02/2019;Ballot - STU to Normative;2020 Jan WGM/Ballot;Create New Standard;Healthcare Associated Infection (HAI) Report for Long Term Care Facilities (LTCF), LTCF HAI Report, NHSN, laboratory identifiend (LabID) Event, Clostridium difficile infections (CDI), Multidrug-Resistant Organism’ (MDRO) and Clostridiodes difficlie (C. diff);https://confluence.hl7.org/pages/viewpage.action?pageId=39159811;Yes;"FHIR IG; FHIR Profile";14/02/2019 08:00
1602;CMS FHIR Connectathon Administrator;Board of Directors Work Group;No Selection;None;Sandy Vance (AEGIS);Archived;;;Vendor Contract;2020 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;N/A;- Non Product Project -;22/02/2019 08:00
1591;Ballot Desktop and GoMembers Replacement;Board of Directors Work Group;No Selection;None;Duteau Design, Inc (Jean Duteau);Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;N/A;- Non Product Project -;22/02/2019 08:00
1522;Analysis of Requirements to Replace HL7 Ballot Desktop System;Board of Directors Work Group;No Selection;None;Duteau Design, Inc (Jean Duteau);Archived;;;Vendor Contract;2019 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;N/A;- Non Product Project -;22/02/2019 08:00
1512;HL7 IG: UDI Pattern R2 (PSS in Confluence);Orders and Observations Work Group;;Administrative;Marti Velezis;Archived;12/03/2019;18/03/2019;Ballot - Normative (no STU);2020 Sept WGM/Ballot;IG;UDI, UDI Pattern;"https://confluence.hl7.org/display/OO/UDI+Pattern+R2+PSS

https://confluence.hl7.org/display/OO";N/A;Guidance (e.g. Companion Guide, Cookbook, etc);28/02/2019 08:00
1523;Flat FHIR (Bulk Data Access & Push) (ONC Grant Project);Board of Directors Work Group;No Selection;None;Boston Children's Hospital;Active Project (Resources assigned to pjt);;;Vendor Contract;2021 Sept WGM/Ballot;;"Bulk Data and Push; Flat FHIR";"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page

On the HL7 Wiki Page titled: FHIR: Enhancing Implementation (ONC Grant Project) at: 
http://wiki.hl7.org/index.php?title=FHIR:_Enhancing_Implementation_(ONC_Grant_Project)";N/A;;01/03/2019 08:00
1515;"Payer Coverage Decision Exchange (Da Vinci project; PSS in Confluence)";Financial Management Work Group;Payer/Provider Info Exchange Work Group;Administrative;Robert Dieterle, Viet Nguyen;STU - Test Period/Accepting Comments;29/03/2016;08/04/2019;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;Da Vinci, Coverage Decision Exchange, Coverage Decisions;https://confluence.hl7.org/display/FM/PSS+for+Payer+Coverage+Decision+Exchange;Yes;FHIR IG;11/03/2019 08:00
1514;"Patient Cost Transparancy (Da Vinci project; PSS in Confluence)";Financial Management Work Group;Payer/Provider Info Exchange Work Group;Administrative;Robert Dieterle, Viet Nguyen;Active Project (Resources assigned to pjt);29/03/2016;08/04/2019;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;Da Vinci, Cost Transparency;https://confluence.hl7.org/display/FM/PSS+for+Patient+Cost+Transparancy;Yes;FHIR IG;11/03/2019 08:00
1517;"Risk Based Contract Member Identification (Da Vinci project; PSS in Confluence)";Financial Management Work Group;Payer/Provider Info Exchange Work Group;Administrative;Robert Dieterle, Viet Nguyen, David Degandi;STU - Reconcile;26/03/2019;08/04/2018;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;Da Vinci, Attribution, Risk Based Contract Members;"https://confluence.hl7.org/display/FM/PSS+for+Risk+Based+Contract+Member+Identification

https://github.com/HL7/davinci-rcmid";Yes;FHIR IG;11/03/2019 08:00
1520;Consolidated CDA STU 2019 Update (Jira PSS-1834);Structured Documents Work Group;Patient Care Work Group, Payer/Provider Info Exchange Work Group;Infrastructure;Lisa Nelson, Brett Marquard? (Sean McIlvena or Rick Geimer) for dependent tooling work);Active Project (Resources assigned to pjt);27/03/2019;17/09/2021;Ballot - STU to Normative;2025 Sept WGM/Ballot;IG;"C-CDA; C-CDA R2.1 Update";"2021 August: Updated PSS Info which covers current 'clean-up' and future C-CDA balloted updates, allowing for future USCDI and other regulatory updates to be represented in C-CDA:

https://jira.hl7.org/browse/PSS-1834

https://confluence.hl7.org/display/SD/Consolidated+CDA+STU+2019+Update

Structured Documents Confluence";Yes;V3 Documents-Clinical (e.g. CDA);14/03/2019 08:00
1518;"Patient Data Exchange (Da Vinci project; PSS in Confluence)";Patient Care Work Group;Financial Management Work Group;Clinical;Robert Dieterle, Viet Nguyen;Active Project (Resources assigned to pjt);07/04/2019;15/04/2019;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;Da Vinci, Patient Data Exchange;https://confluence.hl7.org/display/PC/PSS+for+Patient+Data+Exchange;Yes;FHIR IG;19/03/2019 08:00
1554;Da Vinci FHIR IG Review;Board of Directors Work Group;;None;HL7 PMO, HL7 CTO, Bob Dieterle, Viet Nguyeng;Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Jan WGM/Ballot;;;;;;19/03/2019 08:00
1525;International Patient Summary (IPS) IG (PSS In Confluence);Patient Care Work Group;Electronic Health Records Work Group;Clinical;Robert Hausam, MD, Giorgio Cangioli;STU - Test Period/Accepting Comments;07/04/2019;15/04/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;Create New Standard, Revise Current Standard, IG;"IPS
INTERPAS (former name)";"https://github.com/HL7/fhir-ips

https://confluence.hl7.org/display/PC/International+Patient+Summary

https://confluence.hl7.org/display/PC/International+Patient+Summary+%28IPS%29+Implementation+Guide";Yes;"FHIR IG; FHIR Profile";25/03/2019 08:00
1516;"Alerts (Da Vinci project; PSS in Confluence)";Clinical Decision Support Work Group;Clinical Decision Support Work Group, Financial Management Work Group, Patient Administration Work Group, Payer/Provider Info Exchange Work Group;Administrative;Robert Dieterle, Viet Nguyen;STU - Test Period/Accepting Comments;14/11/2019;25/11/2019;Ballot - STU to Normative;2024 Jan WGM/Ballot;IG;Da Vinci, Alerts, ADT Notifcation ;https://confluence.hl7.org/display/FM/PSS+for+Alerts;Yes;FHIR IG;27/03/2019 08:00
1524;"Characteristics of Realm Transferable Standards Specifications (PSS in Confluence; Approval in Jira)";Architectural Review Work Group;International Council, Standards Governance Board;None;Anthony Julian;Archived;;20/05/2019;Ballot - Informative;2022 May WGM/Ballot;Create New Standard, White Paper (Balloted Informative);;"https://confluence.hl7.org/pages/viewpage.action?pageId=42992014

https://confluence.hl7.org/display/ARB/2019-02-20+Characteristics+of+Realm+Transferable+Standards+Specifications

https://jira.hl7.org/browse/PSS-1329";N/A;;27/03/2019 08:00
1526;"C-CDA Companion Guide update (PSS In Confluence; updates in Jira at Jira PSS-1833)";Structured Documents Work Group;;Infrastructure;Matt Rahn;STU - Reconcile;05/04/2019;17/09/2021;Vendor Contract;2025 Sept WGM/Ballot;Supplement to a Current Standard;C-CDA Companion Guide;"2020 August Updates to PSS: 
https://jira.hl7.org/browse/PSS-1833

https://confluence.hl7.org/display/CDA/C-CDA+Companion+Guide+Updates";Yes;V3 Documents-Clinical (e.g. CDA);29/03/2019 08:00
1545;FHIR Fact Sheets (ONC/Grant funded project);Board of Directors Work Group;;None;David Hay;Archived;;;Vendor Contract;2020 Sept WGM/Ballot;;;https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page;N/A;;05/04/2019 08:00
1628;Capacity Building Program;Board of Directors Work Group;;None;Lisa Nelson;Archived;;;Vendor Contract;2020 Sept WGM/Ballot;;;;N/A;;08/04/2019 08:00
1529;Standardized Medication Profile (PSS in Confluence);Pharmacy Work Group;;Clinical;Jean Duteau (HL7), Margaret Welker (NCPDP);Archived;22/04/2019;29/04/2019;Ballot - Informative;2021 Sept WGM/Ballot;White Paper (Balloted Informative);Medication Profile White Paper, Medication List, MAR;https://confluence.hl7.org/display/PHAR/Standardized+Medication+Profile;Don't Know;White Paper;08/04/2019 08:00
1528;C-CDA Companion Guide Update (ONC Grant Project) contract;Board of Directors Work Group;;Infrastructure;Lisa Nelson;Archived;05/04/2019;;Vendor Contract;2019 Sept WGM/Ballot;Supplement to a Current Standard;C-CDA Companion Guide;https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page;Yes;V3 Documents-Clinical (e.g. CDA);10/04/2019 08:00
1489;"Payer Data Exchange (PDex) (Da Vinci Pjt; PSS in Confluence)";Financial Management Work Group;Payer/Provider Info Exchange Work Group, Pharmacy Work Group;Administrative;Mark Scrimshire, Tony Benson, Corey Spears;STU - Test Period/Accepting Comments;08/05/2019;08/05/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;Payer Data exchange, PDex, Da Vinci;"Below is the list of the original PSS and subequent updates to the PSS:

PSS for Payer Data Exchange (PDex) (Update 3)
https://confluence.hl7.org/pages/viewpage.action?pageId=94639340

 PSS for Payer Data Exchange (PDex) (Update 2)
https://confluence.hl7.org/pages/viewpage.action?pageId=82910370

PSS for Payer Data Exchange (PDex) (Updated)
https://confluence.hl7.org/pages/viewpage.action?pageId=49644604

PSS for Payer Data Exchange (PDex)
https://confluence.hl7.org/pages/viewpage.action?pageId=39158184";Yes;FHIR IG;16/04/2019 08:00
1527;"Tooling Catalog Annual Clean-up (PSS in Confluence; PSS Approvals in Jira as part of the pilot)";Publishing, Electronic Services and Tools Work Group;No Selection;Organizational Support;EST Co-Chairs;Active Project (Resources assigned to pjt);07/07/2019;;- Other -;2025 Sept WGM/Ballot;;;"https://confluence.hl7.org/display/EST/PSS+Tooling+Catalog+Annual+Clean-up

https://jira.hl7.org/browse/PSS-1370";N/A;;17/04/2019 08:00
1547;C-CDA Web Publication Tooling (ONC Grant funded project and CTO funded project);Board of Directors Work Group;;Administrative;Sean McIlvenna, Rick Geimer;Archived;;;Vendor Contract;2019 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page;Don't Know;V3 Documents-Clinical (e.g. CDA);25/04/2019 08:00
1530;"Abstract Transport Specification (ATS) update (PSS in Confluence; Approval in Jira Pilot - Jira PSS-1373)";Infrastructure and Messaging Work Group;Implementable Technology Specifications Work Group;Infrastructure;Anthony (Tony) Julian;Active Project (Resources assigned to pjt);22/08/2019;09/09/2019;Ballot - Normative (no STU);2023 Sept WGM/Ballot;Revise Current Standard;Abstract Transport Specification , Abstract Transport, ATS;"https://confluence.hl7.org/display/INM/InM+Projects

https://confluence.hl7.org/display/INM/HL7+Standard%3A+Abstract+Transport+Specification+R2

https://jira.hl7.org/browse/PSS-1373";No;;25/04/2019 08:00
1539;Laboratory Model / Profiles (PSS in Confluence);Orders and Observations Work Group;Clinical Information Modeling Initiative Work Group;Administrative;Stan Huff;Active Project (Resources assigned to pjt);17/01/2020;02/03/2020;Ballot - Normative (no STU);2024 Jan WGM/Ballot;IG;LOINC, quantitative labs, profiles;https://confluence.hl7.org/pages/viewpage.action?pageId=51226193;Yes;"FHIR IG; FHIR Profile; FHIR Resources";06/05/2019 08:00
1584;Skin and Wound Assessment;Patient Care Work Group;Clinical Interoperability Council Work Group, Electronic Health Records Work Group, Patient Care Work Group;---------- REQUIRED FIELD: SELECT AT LEAST ONE -----------;Susan Matney;Active Project (Resources assigned to pjt);09/03/2020;16/03/2020;Ballot - STU to Normative;2023 Jan WGM/Ballot;Create New Standard;Wound Assessment;https://confluence.hl7.org/display/CIC/Skin+and+Wound+PSS;Yes;;07/05/2019 08:00
1542;Version 2 Quality Criteria (PSS in Confluence) (Part of Confluence PSS Approval Pilot);Infrastructure and Messaging Work Group;Conformance Work Group, Vocabulary Work Group;Infrastructure;Anthony Julian;Informative - Reconcile;23/07/2019;30/09/2019;Ballot - Informative;2023 Jan WGM/Ballot;Create New Standard, Supplement to a Current Standard;V2 Quality.;"https://confluence.hl7.org/display/INM/Version+2+Quality+Criteria+PSS

https://confluence.hl7.org/display/INM/InM+Projects";N/A;Guidance (e.g. Companion Guide, Cookbook, etc);07/05/2019 08:00
1535;HL7 CDS Hooks: Hook Definitions (PSS in Confluence);Clinical Decision Support Work Group;Clinical Quality Information Work Group;Clinical;Bryn Rhodes;STU - Test Period/Accepting Comments;14/10/2019;04/11/2019;Ballot - STU to Normative;2023 May WGM/Ballot;Supplement to a Current Standard;;https://confluence.hl7.org/display/CDS/HL7+CDS+Hooks%3A+Hook+Definitions;No;Guidance (e.g. Companion Guide, Cookbook, etc);08/05/2019 08:00
1533;Gender Harmony Project (PSS in Confluence);Vocabulary Work Group;Patient Administration Work Group, Patient Care Work Group, Public Health Work Group;Infrastructure;Rob McClure;Active Project (Resources assigned to pjt);01/07/2019;08/07/2019;Ballot - Informative;2022 Sept WGM/Ballot;White Paper (Balloted Informative);;"https://confluence.hl7.org/display/VOC/Gender+Harmony+Project+PSS

https://confluence.hl7.org/display/VOC/The+Gender+Harmony+Project";Yes;White Paper;09/05/2019 08:00
1532;Birth Defects DAM and FHIR IG (PSS in Confluence);Public Health Work Group;;Clinical;Craig Newman, Thanh Cheng;Informative - Request Publication;03/06/2019;26/08/2019;Ballot - STU to Normative;2021 May WGM/Ballot;IG;Birth Defects, Ambulatory Reporting, Hospital Reporting;"https://confluence.hl7.org/display/PHWG/Birth+Defects+DAM+and+FHIR+IG

https://confluence.hl7.org/display/PHWG/Public+Health+Registries+Reporting and child pages";Yes;"FHIR Extensions; FHIR IG";16/05/2019 08:00
1540;Single Institutional Review Board Project (sIRB)  (PSS in Confluence);Biomedical Research and Regulation Work Group;Clinical Interoperability Council Work Group, FHIR Infrastructure Work Group, FHIR Management Group;Clinical;Anita Walden and Ed Hammond;Informative - Reconcile;22/11/2019;02/12/2019;Ballot - Informative;2022 May WGM/Ballot;White Paper (Balloted Informative), IG;sIRB Project;;Don't Know;"FHIR IG; FHIR Profile";21/05/2019 08:00
1536;Dental Attachment IG (Orthodontic, Periodontal) (PSS in Confluence);Payer/Provider Info Exchange Work Group;;Administrative;Russell Ott;Archived;;;Ballot - STU to Normative;2022 Sept WGM/Ballot;Revise Current Standard;Periodontal Attachment, Orthodontic Attachment, Dental Attachment;"https://confluence.hl7.org/pages/viewpage.action?pageId=51222906

https://confluence.hl7.org/display/ATT/Dental+Attachment+Implementation+Guide?src=contextnavpagetreemode";Yes;V3 Documents-Clinical (e.g. CDA);21/05/2019 08:00
1544;Conformance, Guidance and Best Practices for FHIR IGs (PSS in Confluence);Conformance Work Group;Architectural Review Work Group;Infrastructure;Ioana Singureanu;Active Project (Resources assigned to pjt);;;Ballot - Informative;2022 Sept WGM/Ballot;Supplement to a Current Standard, IG;;"https://confluence.hl7.org/display/CONF/Conformance+Testing+and+Validation+of+FHIR+Implementation+PSS

https://github.com/HL7/conformance";N/A;;21/05/2019 08:00
1537;Pharmaceutical Quality/ Chemistry, Manufacturing and Controls (PQ/CMC) (PSS in Confluence);Biomedical Research and Regulation Work Group;;Clinical;"Mary Ann Slack; Boris Brodsky";Active Project (Resources assigned to pjt);18/06/2021;18/06/2021;Ballot - STU to Normative;2022 Jan WGM/Ballot;Create New Standard, IG, Externally developed IG is to be Endorsed;;"https://confluence.hl7.org/display/BRR/Pharmaceutical+Quality+%28PQ%29+PSS

HL7 Github - https://github.com/HL7/FHIR-pq-cmc";Yes;"FHIR IG; FHIR Profile";21/05/2019 08:00
1538;CARIN Blue Button (PSS in Confluence);Financial Management Work Group;;Administrative;Amol Vyas, Ryan Howells;STU - Balloting;02/09/2019;14/10/2019;Ballot - STU to Normative;2021 Sept WGM/Ballot;IG;BlueButton;"https://confluence.hl7.org/display/FM/PSS+for+CARIN+Blue+Button

https://trifolia-fhir.lantanagroup.com/implementation-guide/carin-bb2/view";Yes;FHIR IG;22/05/2019 08:00
1585;Pain Assessment;Clinical Interoperability Council Work Group;Clinical Information Modeling Initiative Work Group, Patient Care Work Group;Clinical;Stan Huff;On Hold;04/02/2020;02/03/2020;Ballot - STU to Normative;2023 May WGM/Ballot;Create New Standard;Pain Assessment;https://github.com/HL7/fhir-pain-assessment-ig;Yes;;23/05/2019 08:00
1541;Vital Signs (PSS in Confluence);Orders and Observations Work Group;Clinical Information Modeling Initiative Work Group, Orders and Observations Work Group, Patient Care Work Group;Clinical;Stan Huff;STU - Reconcile;13/03/2020;23/03/2020;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;Vital Signs, Vital Signs profiles, Vital Signs IG;https://confluence.hl7.org/display/CIC/Vital+Signs+PSS;Yes;"FHIR IG; FHIR Profile; FHIR Resources";23/05/2019 08:00
1062;Publishing and Tooling support for FHIR publication;Publishing Work Group;PEST Work Group;Organizational Support;Brian Pech;Archived;20/01/2014;03/02/2014;- Other -;2018 Sept WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;;Publishing/Tooling/FMG?;;- New/Modified HL7 Policy/Procedure/Process -;05/06/2019 08:00
1555;FHIR Terminology Server Support (ONC/Grant funded project);Board of Directors Work Group;;None;Rob Hausam;Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Jan WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page";N/A;;17/06/2019 08:00
1549;FHIR Data Segmentation for Privacy (DS4P) IG (PSS in Confluence);Security Work Group;Community-Based Care and Privacy (CBCP) Work Group;Infrastructure;Mike Davis, Chris Shawn, Johnathan Coleman;STU - Reconcile;23/07/2019;05/08/2019;Ballot - STU to Normative;2022 Jan WGM/Ballot;Create New Standard;FHIR DS4P IG;"https://confluence.hl7.org/display/SEC/FHIR+Data+Segmentation+for+Privacy+%28DS4P%29+Implementation+Guide+PSS

FHIR DS4P Project https://confluence.hl7.org/display/SEC/FHIR+DS4P+Project";No;"FHIR Profile; FHIR Resources";18/06/2019 08:00
1543;CARIN Consumer-facing Real-time Pharmacy Benefit Check (PSS in Confluence);Pharmacy Work Group;Pharmacy Work Group;Administrative;Pooja Babbrah, Ryan Howells;STU - Test Period/Accepting Comments;24/07/2019;09/09/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;IG;RTPBC, RTBT, RTBC;https://confluence.hl7.org/display/ADDC/PSS+for+CARIN+Consumer-facing+Real-time+Pharmacy+Benefit+Check;Yes;FHIR Profile;24/06/2019 08:00
1559;eLTSS Reference Implementation (ONC/Grant funded project);Board of Directors Work Group;;None;Jim Kamp, David Pyke;Archived;;;Vendor Contract;2019 Sept WGM/Ballot;;;ONC Project Wiki Page: http://wiki.hl7.org/index.php?title=ONC_Grant_Project_Page;N/A;;25/06/2019 08:00
1578;Vanguard;Clinical Interoperability Council Work Group;Clinical Genomics Work Group;Clinical;Stan Huff;Active Project (Resources assigned to pjt);21/11/2020;06/01/2020;Ballot - STU to Normative;2023 Jan WGM/Ballot;Create New Standard;"Central Line Care; Central Venous Access; Vascular Access";"https://confluence.hl7.org/display/CIC/VANGUARD+PSS

https://confluence.hl7.org/display/CIC/VANGUARD";Yes;FHIR IG;27/06/2019 08:00
1546;Create Volume 1 for C-CDA R2.2 (ONC Grant Project);Board of Directors Work Group;;Infrastructure;Lisa Nelson;Archived;;;Vendor Contract;2019 Sept WGM/Ballot;Supplement to a Current Standard;;https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page;Yes;V3 Documents-Clinical (e.g. CDA);03/07/2019 08:00
